message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,NOTIFY,TRANSACTION,Urgency language detected and payment update,0.95,"msg_078,msg_092,msg_004"
msg_091,SUPPRESS,PHISHING,OTP request detected; Credential request detected; Urgency language detected; User has notification fatigue,0.95,"msg_110,msg_044,msg_046"
msg_090,NOTIFY,PERSONAL,"The message is a personal inquiry about a package mix-up and is not urgent, which aligns with the user's low engagement score and high dismissed notifications count.",0.95,"msg_003,msg_025,msg_045"
msg_048,BLOCK,PHISHING,suspicious QR code and urgency tactic,0.95,"msg_063,msg_017,msg_109"
msg_040,IGNORE,SPAM,user has high dismissed notifications and low engagement score,0.95,"msg_038,msg_061,msg_034"
msg_075,SUPPRESS,TRANSACTIONAL,user has high dismissed notifications count and low engagement score,0.95,"msg_028,msg_004,msg_050"
msg_005,NOTIFY,PERSONAL,personal request with specific instructions and deadline,0.95,"msg_104,msg_103,msg_049"
msg_104,NOTIFY,PERSONAL,"user has low engagement score and high dismissed notifications, but the message is time-sensitive and requires a response",0.95,"msg_103,msg_005,msg_049"
msg_069,NOTIFY,GROUP,"The message is a general greeting and contains a request to share the message in all groups to spread positive energy, which is consistent with a group message type.",0.95,"msg_070,msg_067,msg_072"
msg_107,SUMMARIZE,PHISHING,OTP request detected; Credential request detected,0.8,"msg_095,msg_109,msg_108"
msg_070,SUMMARIZE,PHISHING,OTP request detected; Credential request detected,0.8,"msg_072,msg_079,msg_067"
msg_003,NOTIFY,TRANSACTIONAL,Order update with specific details and call to action in the Amazon app,0.95,"msg_025,msg_026,msg_045"
msg_099,NOTIFY,INFORMATIONAL,"The notification is informational and does not require immediate action, but it's still relevant for the user to be aware of before the 11 AM standup.",0.95,"msg_032,msg_031,msg_033"
msg_008,SUPPRESS,PROMOTIONAL,User has high notification fatigue and low engagement score,0.95,"msg_004,msg_050,msg_098"
msg_092,NOTIFY,TRANSACTION,"The notification contains information about a monthly card statement, which is a common transaction-related message.",0.95,"msg_023,msg_022,msg_004"
msg_060,NOTIFY,REMINDER,Urgency language and deadline detected,0.95,"msg_064,msg_078,msg_054"
msg_004,NOTIFY,REMINDER,"The notification contains a clear call to action to review health-related updates before a scheduled time, which is a typical characteristic of a reminder.",0.95,"msg_050,msg_023,msg_092"
msg_030,SUPPRESS,PERSONAL,low engagement score and high dismissed notifications,0.95,"msg_029,msg_013,msg_049"
msg_045,PRIORITY_NOTIFY,INDIVIDUAL,time-sensitive delivery notification requiring immediate user attention,0.95,"msg_026,msg_093,msg_003"
msg_052,NOTIFY,TRANSACTIONAL,refund update and wallet details link,0.95,"msg_076,msg_064,msg_026"
msg_009,NOTIFY,GROUP,"The user is initiating a discussion about cricket highlights and inviting others to join, indicating a social and interactive intent.",0.95,"msg_068,msg_099,msg_038"
msg_071,NOTIFY,PERSONAL,"The message contains informal language and a personal meeting plan, indicating a personal message.",0.95,"msg_068,msg_037,msg_080"
msg_016,BLOCK,PHISHING,suspicious login request with urgency and unverified link,0.95,"msg_073,msg_019,msg_044"
msg_065,SUMMARIZE,PHISHING,Credential request detected; Urgency language detected,0.8,"msg_066,msg_051,msg_024"
msg_038,BLOCK,SPAM,chain letter pattern detected,0.95,"msg_034,msg_061,msg_040"
msg_086,SUPPRESS,UNKNOWN,Empty message and low engagement score,0.95,"msg_088,msg_083,msg_085"
msg_014,SUPPRESS,PROMOTIONAL,User has high notification dismissal rate and low engagement score,0.95,"msg_066,msg_051,msg_024"
msg_094,SUPPRESS,PROMOTION,User has high notification fatigue and low engagement score,0.95,"msg_066,msg_051,msg_024"
msg_029,NOTIFY,PERSONAL,personal selling item,0.95,"msg_030,msg_013,msg_049"
msg_105,BLOCK,SPAM,suspicious health tip with unclear credentials and high forward count,0.95,"msg_058,msg_012,msg_004"
msg_002,NOTIFY,REQUEST,time-sensitive request for a brief call before a client meeting,0.95,"msg_064,msg_100,msg_052"
msg_010,NOTIFY,FEEDBACK,"The notification is a feedback request from a business, PVR Cinemas, and does not contain any urgent or sensitive information.",0.95,"msg_053,msg_055,msg_027"
msg_078,BLOCK,PHISHING,suspicious language and request for sensitive information,0.95,"msg_059,msg_023,msg_054"
msg_013,BLOCK,SPAM,high dismissed notifications and low engagement score,0.95,"msg_049,msg_064,msg_066"
msg_018,BLOCK,SPAM,High risk score and urgency language detected,0.95,"msg_059,msg_092,msg_078"
msg_044,SUPPRESS,PHISHING,OTP request detected; Credential request detected; Urgency language detected,0.95,"msg_015,msg_046,msg_019"
msg_032,NOTIFY,GROUP,"The message is a request for shared information from a specific group, CS lab section B, and does not contain any urgent, sensitive, or suspicious content.",0.95,"msg_099,msg_041,msg_038"
msg_106,NOTIFY,PERSONAL,Urgency language detected and time-sensitive information,0.95,"msg_042,msg_056,msg_031"
msg_006,NOTIFY,GROUP,Urgency language detected and instruction to use specific channels,0.95,"msg_031,msg_047,msg_022"
msg_109,NOTIFY,PERSONAL,trusted admin sender and urgency language detected,0.95,"msg_095,msg_108,msg_107"
msg_108,SUMMARIZE,PHISHING,Credential request detected; Urgency language detected,0.8,"msg_109,msg_095,msg_107"
msg_019,NOTIFY,SECURITY,Urgency language and security update detected,0.95,"msg_016,msg_044,msg_073"
msg_088,SILENT,GROUP,user has high notification fatigue with 77 dismissed notifications and low engagement score of 0.12,0.95,"msg_086,msg_083,msg_085"
msg_056,NOTIFY,UPDATE,urgency and time-sensitive language detected,0.95,"msg_098,msg_004,msg_050"
msg_027,NOTIFY,MARKETING,"The message contains a promotional offer and a call to action to view an itinerary, which is typical of marketing messages.",0.95,"msg_074,msg_028,msg_080"
msg_050,NOTIFY,REMINDER,"The notification contains a clear call to action to review health-related updates before a scheduled time, which is a typical characteristic of a reminder.",0.95,"msg_004,msg_023,msg_092"
msg_083,SUPPRESS,UNKNOWN,empty message and low engagement score,0.95,"msg_086,msg_088,msg_085"
msg_063,BLOCK,PHISHING,suspicious language and request for sensitive information,0.95,"msg_017,msg_048,msg_109"
msg_033,NOTIFY,PERSONAL,language used is informal and inquiring about safety,0.95,"msg_034,msg_100,msg_097"
msg_061,BLOCK,SPAM,low engagement score and high dismissed notifications,0.95,"msg_011,msg_034,msg_038"
msg_020,BLOCK,PHISHING,Urgency language and suspicious link detected,0.95,"msg_046,msg_078,msg_073"
msg_017,NOTIFY,URGENT,Urgency language detected and service stoppage implied,0.95,"msg_063,msg_048,msg_022"
msg_058,BLOCK,SPAM,"Low engagement score, high dismissed notifications, and suspicious message content",0.95,"msg_012,msg_105,msg_098"
msg_026,BLOCK,PHISHING,suspicious link and request for verification,0.95,"msg_045,msg_093,msg_003"
msg_047,NOTIFY,GROUP,Urgency language detected and matches user's profile for important updates,0.95,"msg_006,msg_042,msg_001"
msg_046,SUMMARIZE,PHISHING,OTP request detected; Credential request detected,0.8,"msg_015,msg_044,msg_016"
msg_042,NOTIFY,INDIVIDUAL,user has low engagement score and high dismissed notifications,0.95,"msg_047,msg_045,msg_043"
msg_079,SUMMARIZE,PHISHING,OTP request detected; Credential request detected,0.8,"msg_070,msg_072,msg_068"
msg_098,NOTIFY,ALERT,Urgency language and time-sensitive decision detected,0.95,"msg_056,msg_004,msg_050"
msg_037,NOTIFY,PERSONAL,"The message appears to be a personal reminder or alert, using informal language and mentioning a specific action to be taken, indicating it is not a group message.",0.95,"msg_080,msg_068,msg_071"
msg_007,NOTIFY,GROUP,update on society potluck registrations,0.95,"msg_077,msg_004,msg_050"
msg_085,DO_NOT_NOTIFY,UNKNOWN,empty message and low engagement score,0.95,"msg_086,msg_088,msg_083"
msg_001,NOTIFY,GROUP,Urgency language detected and user needs to take immediate action,0.95,"msg_043,msg_047,msg_042"
msg_021,NOTIFY,TRANSACTION,Urgency language and payment deadline detected,0.95,"msg_022,msg_054,msg_017"
msg_028,SUPPRESS,PROMOTION,user has high notification fatigue and low engagement score,0.95,"msg_065,msg_075,msg_066"
msg_012,BLOCK,SPAM,"Forward count is high and engagement score is low, indicating potential spam",0.95,"msg_058,msg_105,msg_040"
msg_064,NOTIFY,LEGITIMATE,"The notification is related to a refund and requires the user to verify their wallet and card details, which is a common and legitimate practice.",0.95,"msg_052,msg_076,msg_026"
msg_103,NOTIFY,PERSONAL,personal request with specific details and time constraint,0.95,"msg_104,msg_005,msg_049"
msg_031,NOTIFY,REMINDER,"The message contains a specific time and requests the user to bring certain documents, indicating a reminder for a meeting or a task.",0.95,"msg_006,msg_102,msg_099"
msg_057,NOTIFY,PERSONAL,direct mention of user ID,0.95,"msg_110,msg_016,msg_026"
msg_087,SUPPRESS,GROUP,user has high notification fatigue and low engagement score,0.95,"msg_086,msg_088,msg_083"
msg_067,NOTIFY,REMINDER,"The message contains a specific deadline and a consequence for not completing the task, indicating it is a reminder about a maintenance payment.",0.95,"msg_080,msg_072,msg_071"
msg_039,NOTIFY,TRANSACTION,urgency language and payment confirmation request detected,0.95,"msg_077,msg_064,msg_021"
msg_082,SUPPRESS,GROUP,user has high notification fatigue and low engagement score,0.95,"msg_086,msg_088,msg_083"
msg_066,SUMMARIZE,PHISHING,Credential request detected; Urgency language detected; User has notification fatigue,0.8,"msg_051,msg_024,msg_065"
msg_049,NOTIFY,TRANSACTIONAL,Urgency language and specific instructions indicate a transactional message,0.95,"msg_013,msg_003,msg_025"
msg_015,SUPPRESS,PHISHING,OTP request detected; Credential request detected; Urgency language detected,0.95,"msg_044,msg_046,msg_016"
msg_051,SUMMARIZE,PHISHING,Credential request detected; Urgency language detected; User has notification fatigue,0.8,"msg_066,msg_024,msg_065"
msg_097,SUPPRESS,PERSONAL_UPDATE,no urgent language or action required,0.95,"msg_033,msg_100,msg_034"
msg_089,NOTIFY,PERSONAL,"Urgency language detected and user has a low engagement score, indicating a need for notification",0.95,"msg_006,msg_005,msg_001"
msg_053,NOTIFY,INFORMATIONAL,Market update with research links for users tracking semiconductors,0.8,"msg_010,msg_066,msg_051"
msg_059,BLOCK,PHISHING,Suspicious language and request for sensitive information,0.95,"msg_078,msg_018,msg_046"
msg_024,SUMMARIZE,PHISHING,Credential request detected; Urgency language detected; User has notification fatigue,0.8,"msg_066,msg_051,msg_065"
msg_072,SUMMARIZE,PHISHING,OTP request detected; Credential request detected,0.8,"msg_070,msg_079,msg_067"
msg_036,NOTIFY,BUSINESS,"The notification is from a legitimate business source, RazorpayX Global Desk, and requires the user to complete a verification step for an international payout profile.",0.95,"msg_035,msg_021,msg_022"
msg_076,NOTIFY,TRANSACTIONAL,refund update and urgency language detected,0.95,"msg_052,msg_064,msg_026"
msg_055,NOTIFY,PERSONAL,Urgency language detected and personal call to action,0.95,"msg_098,msg_033,msg_056"
msg_102,NOT_NOTIFY,LEGITIMATE,Contextual language indicates a legitimate system update,0.95,"msg_031,msg_048,msg_100"
msg_080,NOTIFY,INDIVIDUAL,"The message contains a specific warning and instruction for the user, indicating it is intended for an individual.",0.95,"msg_037,msg_067,msg_068"
msg_093,SUPPRESS,PHISHING,OTP request detected; Credential request detected; Urgency language detected,0.95,"msg_045,msg_026,msg_049"
msg_034,SUPPRESS,PERSONAL,low urgency language and low engagement score,0.95,"msg_033,msg_011,msg_061"
msg_035,NOTIFY,PROMOTIONAL,"The message is promoting a product or service, RazorpayX Global Payouts, and is encouraging the user to connect, which is typical of promotional messages.",0.95,"msg_036,msg_002,msg_092"
msg_101,IGNORE,LEGITIMATE,"no credential request present, message appears to be a personal reminder",0.95,"msg_097,msg_052,msg_076"
msg_041,NOTIFY,BUSINESS,Urgency language detected and legitimate business inquiry,0.95,"msg_032,msg_033,msg_014"
msg_011,DISMISS,SPAM,low engagement score and high dismissed notifications,0.95,"msg_061,msg_034,msg_040"
msg_110,SUPPRESS,PHISHING,OTP request detected; Credential request detected; Urgency language detected; User has notification fatigue,0.95,"msg_091,msg_016,msg_019"
msg_095,BLOCK,PHISHING,suspicious credential request and low user engagement score,0.95,"msg_109,msg_107,msg_108"
msg_074,BLOCK,SPAM,suspicious language and request for payment,0.95,"msg_027,msg_017,msg_078"
msg_073,BLOCK,PHISHING,Urgency language and restricted profile threat detected,0.95,"msg_016,msg_019,msg_044"
msg_054,BLOCK,PHISHING,Suspicious link and urgency tactic detected,0.95,"msg_078,msg_021,msg_022"
msg_068,NOTIFY,GROUP,social planning,0.95,"msg_071,msg_037,msg_080"
msg_100,NOTIFY,ALERT,Urgency language and time-sensitive request detected,0.95,"msg_021,msg_033,msg_002"
msg_062,NOTIFY,REMINDER,scheduled maintenance notification,0.95,"msg_047,msg_093,msg_042"
msg_096,NOTIFY,PERSONAL,Lost personal item recovery,0.95,"msg_068,msg_049,msg_037"
msg_043,NOTIFY,GROUP,Urgency language detected and matches user's previous notification patterns,0.95,"msg_001,msg_042,msg_045"
msg_077,NOTIFY,INFORMATIONAL,"The notification contains a school circular and instructions for a field trip, indicating it is providing new information rather than serving as a reminder.",0.95,"msg_039,msg_007,msg_064"
